0 0.01 1968
0.01 0.02 1917
0.02 0.03 2086
0.03 0.04 2103
0.04 0.05 1928
0.05 0.06 2028
0.06 0.07 1971
0.07 0.08 2052
0.08 0.09 1953
0.09 0.1 2020
0.1 0.11 1998
0.11 0.12 1973
0.12 0.13 2001
0.13 0.14 1958
0.14 0.15 2009
0.15 0.16 1980
0.16 0.17 2021
0.17 0.18 2021
0.18 0.19 2095
0.19 0.2 2007
0.2 0.21 2015
0.21 0.22 2029
0.22 0.23 2043
0.23 0.24 1995
0.24 0.25 1947
0.25 0.26 2016
0.26 0.27 2042
0.27 0.28 2008
0.28 0.29 1979
0.29 0.3 2065
0.3 0.31 1989
0.31 0.32 2056
0.32 0.33 1936
0.33 0.34 2053
0.34 0.35 1963
0.35 0.36 1997
0.36 0.37 2056
0.37 0.38 2034
0.38 0.39 1966
0.39 0.4 1992
0.4 0.41 2019
0.41 0.42 2017
0.42 0.43 1978
0.43 0.44 2026
0.44 0.45 2000
0.45 0.46 1920
0.46 0.47 1886
0.47 0.48 1965
0.48 0.49 2050
0.49 0.5 1997
0.5 0.51 1962
0.51 0.52 1973
0.52 0.53 1955
0.53 0.54 1996
0.54 0.55 1931
0.55 0.56 1983
0.56 0.57 2061
0.57 0.58 1939
0.58 0.59 1997
0.59 0.6 2026
0.6 0.61 1950
0.61 0.62 1989
0.62 0.63 2097
0.63 0.64 1969
0.64 0.65 1947
0.65 0.66 2014
0.66 0.67 2036
0.67 0.68 1990
0.68 0.69 2051
0.69 0.7 1999
0.7 0.71 1948
0.71 0.72 1917
0.72 0.73 2130
0.73 0.74 1984
0.74 0.75 1967
0.75 0.76 1984
0.76 0.77 1993
0.77 0.78 1970
0.78 0.79 1938
0.79 0.8 1993
0.8 0.81 1999
0.81 0.82 1991
0.82 0.83 1952
0.83 0.84 2020
0.84 0.85 2013
0.85 0.86 2048
0.86 0.87 2062
0.87 0.88 2025
0.88 0.89 1985
0.89 0.9 1980
0.9 0.91 2005
0.91 0.92 2086
0.92 0.93 2039
0.93 0.94 1929
0.94 0.95 2058
0.95 0.96 2007
0.96 0.97 2013
0.97 0.98 2073
0.98 0.99 1946
0.99 1 1952
